 The Busy Executive\s Database Guide,David,19.99, business,An overview of available database systems with emphasis on common business applications. Illustrated.
Cooking with Computers: Surreptitious Balance Sheets,David,11.95,business, Helpful hints on how to use your electronic resources to the best advantage.
You Can Combat Computer Stress!,David,2.99,business, The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.
Straight Talk About Computers,David,19.99,business, Annotated analysis of what computers can do for you: a no-hype guide for the critical user.
Silicon Valley Gastronomic Treats,David,19.99,mod_cook, Favorite recipes for quick easy  and elegant meals.
The Gourmet Microwave,David,2.99,mod_cook, Traditional French gourmet recipes adapted for modern microwave cooking.
The Psychology of Computer Cooking,David, NULL,UNDECIDED, NULL
But Is It User Friendly?,David,22.95,Computers, A survey of software for the naive user focusing on the friendliness of each.
Secrets of Silicon Valley,Dong,20,Computers,Muckraking reporting on the world\s largest computer hardware and software manufacturers.
Net Etiquette,Dong, NULL,Computers, A must-read for computer conferencing.
Computer Phobic AND Non-Phobic Individuals,Dong,21.59,psychology, A must for the specialist this book examines the difference between those who hate and fear computers and those who don't.
Is Anger the Enemy?,Dong,10.95,psychology, Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.
Life Without Fear,Dong,7,psychology, New exercise meditation and nutritional techniques that can reduce the shock of daily interactions. Popular audience. Sample menus included exercise video available separately.
Prolonged Data Deprivation: Four Case Studies,Dong,19.99,psychology, What happens when the data runs dry?  Searching evaluations of information-shortage effects.
Emotional Security: A New Algorithm,Dong,7.99,psychology, Protecting yourself and your loved ones from undue emotional stress in the modern world. Use of computer and nutritional aids emphasized.
Cooking Secrets of the Mediterranean,Dong,20.95,trad_cook, Profusely illustrated in color this makes a wonderful gift book for a cuisine-oriented friend.
Fifty Years in Buckingham Palace Kitchens,Dong,11.95,trad_cook, More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes  techniques  tender vignettes.
Sushi  Anyone?,Dong,14.99,trad_cook, Detailed instructions on how to make authentic Japanese sushi in your spare time.
